No	V1	V2	V3	V4	V5	V6	V7	V8	V9
1	2	27	1	2	2	1	1	2	1
2	2	42	1	3	2	2	1	1	3
3	1	71	1	2	2	2	2	1	1
4	1	52	1	2	2	1	1	2	1
5	2	36	1	2	2	2	2	1	3
6	1	22	2	2	2	2	1	2	3
7	1	26	2	2	2	2	2	2	2
8	2	43	1	2	1	1	2	2	1
9	2	33	1	2	2	2	2	1	1
10	2	54	2	4	2	2	1	1	3
11	1	57	1	3	2	1	1	2	3
12	1	33	1	2	2	1	1	1	1
13	1	65	1	2	2	2	1	2	1
14	2	58	1	2	2	2	2	2	2
15	2	33	1	3	2	1	2	1	1
16	1	37	1	4	2	2	2	1	1
17	1	46	1	3	2	2	1	1	2
18	2	30	2	3	2	1	2	1	1
19	1	64	1	2	2	2	1	2	1
20	2	64	1	2	2	2	2	2	1
21	1	41	1	3	2	2	2	2	1
22	1	56	1	3	2	2	1	1	1
23	2	21	1	3	1	1	1	2	1
24	2	49	1	2	2	1	1	1	1
25	1	60	2	2	1	2	2	2	2
26	1	63	1	1	2	1	1	2	1
27	2	46	1	3	1	1	2	1	1
28	2	53	2	2	2	2	2	1	3
29	2	29	2	3	2	2	1	1	2
30	1	59	1	3	2	2	2	1	1
31	2	48	1	3	2	2	2	1	3
32	2	19	2	2	2	2	2	1	3
33	1	56	1	2	2	2	2	2	1
34	1	30	1	4	1	2	2	1	3
35	2	66	2	3	2	1	1	1	1
36	2	30	1	3	2	1	1	1	1
37	2	39	1	3	1	1	1	1	1
38	1	52	1	2	2	2	2	1	3
39	1	23	1	1	2	1	1	1	1
40	1	52	1	1	1	2	2	2	3
41	1	47	1	1	1	1	2	1	1
42	1	47	1	3	2	2	1	1	1
43	2	71	2	2	1	2	2	2	1
44	2	64	1	2	2	1	1	2	1
45	1	37	2	2	1	2	2	2	3
46	2	62	1	2	2	2	2	2	1
47	1	45	2	1	2	2	2	1	2
48	1	26	2	2	2	2	1	2	2
49	2	40	1	2	1	1	1	1	1
50	1	23	1	3	2	2	2	1	2
51	2	28	1	2	1	2	2	1	2
52	1	40	2	2	1	2	2	2	2
53	1	40	1	2	2	2	1	1	1
54	2	54	1	2	2	2	1	1	1
55	2	48	1	3	2	2	1	1	1
56	2	30	1	3	2	1	1	1	1
57	2	50	1	2	2	2	2	1	1
58	1	21	1	2	1	2	2	2	2
59	2	47	1	2	2	2	2	1	2
60	1	51	2	2	2	2	1	1	2
61	1	27	2	3	2	1	2	1	2
62	2	37	2	3	2	1	2	1	2
63	1	67	1	4	2	2	1	1	1
64	2	30	2	3	2	2	1	1	3
65	1	40	2	2	2	2	2	1	2
66	1	67	1	4	2	2	2	1	1
67	2	51	1	2	2	2	2	2	1
68	1	35	2	2	2	1	1	1	2
69	1	24	1	2	2	2	1	1	3
70	1	34	2	4	2	2	2	1	4
71	1	55	1	4	2	1	1	2	2
72	1	41	1	2	2	1	1	1	1
73	1	32	1	2	2	1	2	1	2
74	1	35	1	2	1	2	1	1	1
75	2	27	2	2	2	2	2	1	2
76	2	22	2	2	2	2	1	1	2
77	2	31	2	2	2	2	1	1	1
78	1	35	2	3	2	2	2	1	3
79	2	33	2	2	1	1	1	2	1
80	1	39	1	2	2	1	2	1	4
81	2	21	1	2	2	2	2	2	3
82	2	51	1	3	2	2	2	1	3
83	2	35	1	3	2	2	1	1	1
84	1	58	2	2	2	2	2	1	3
85	1	54	1	1	2	1	1	2	3
86	2	21	2	3	2	1	2	2	2
87	1	29	2	2	2	2	2	1	1
88	2	32	1	1	2	2	1	1	3
89	2	40	1	2	1	1	2	2	1
90	1	34	2	2	1	2	2	2	2
91	1	33	2	3	2	2	2	1	2
92	2	82	1	1	2	2	1	2	1
93	1	69	1	3	2	2	1	2	1
94	2	38	2	2	2	2	1	1	3
95	1	80	1	3	2	1	1	1	1
96	2	39	1	2	1	1	1	1	4
97	2	61	1	1	1	2	1	2	1
98	1	67	1	2	2	2	1	2	3
99	1	24	1	2	1	2	2	2	2
100	2	43	1	3	2	2	2	1	1
101	1	54	2	1	2	2	2	2	2
102	2	76	1	2	2	2	2	2	1
103	2	45	1	1	1	1	1	2	2
104	2	24	1	2	2	2	2	2	1
105	2	80	1	2	2	2	1	2	1
