	ExtGauche	PC	PS	Ecolo	Droite	ExtDroite	Divers
TF1	2	8	21	5	44	19	1
FR2	3	10	33	7	35	11	1
FR3	4	11	33	7	32	12	1
M6	3	11	27	10	30	16	3
La_Croix	2	3	21	6	64	2	2
Le_Figaro	1	3	9	3	73	11	0
France-Soir	4	9	27	8	32	19	1
L_Humanité	6	63	20	4	5	1	1
Libération	7	10	51	11	18	2	1
Le_Monde	5	9	36	8	34	7	1
Le_Parisien	3	11	33	6	26	20	1
Les_Echos	2	3	16	9	53	13	4
La_Tribune	2	10	27	6	39	13	3
Quotidien_régional	2	8	29	6	39	15	1
RadioFrance	3	8	29	9	39	10	2
RTL	3	10	23	5	42	16	1
Europe1	2	8	27	6	46	10	1
RMC	0	11	22	3	37	26	1
NRJ	3	8	26	7	37	17	2
Le_Canard	3	15	41	10	18	12	1
L_Evènement	2	9	44	7	30	7	1
L_Express	2	4	25	6	51	12	0
Le_Nouvel_Obs.	2	6	47	8	27	8	2
Marianne	4	9	46	11	22	5	3
Paris_Match	0	6	21	6	48	18	1
Le_Pélerin	1	3	27	6	53	10	0
Télérama	6	6	41	14	27	4	2
Le_Point	1	2	17	6	65	9	0
La_Vie	1	9	24	13	46	6	1
VSD	4	8	27	8	34	19	0
